Objects
100
,,Global Angle drone_agi:drone_agi,,,,,,Global Angle drone_leader:drone_leader,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
172,0,-0.121523,0.035765,-1.545200,724.059753,-1745.509521,1298.140991,-0.012167,-0.030638,1.536658,786.206665,-3457.265869,1211.277100
173,0,-0.121662,0.033928,-1.543531,723.886230,-1745.759277,1297.156616,-0.008295,-0.029607,1.538487,785.213623,-3457.036133,1211.351562
174,0,-0.123922,0.033936,-1.544680,723.799377,-1745.789795,1296.257446,-0.008072,-0.028653,1.537310,784.529053,-3456.707031,1211.429077
175,0,-0.124226,0.033414,-1.544793,723.743958,-1745.901001,1295.294922,-0.007796,-0.024490,1.531422,783.336426,-3457.009277,1210.752808
176,0,-0.124231,0.033584,-1.544336,723.752930,-1745.964722,1294.346069,-0.011058,-0.030334,1.530349,783.343445,-3456.117676,1211.606323
177,0,-0.123965,0.032750,-1.543247,723.767273,-1746.096436,1293.281372,-0.009155,-0.029025,1.530209,782.622803,-3455.837891,1211.789795
178,0,-0.124656,0.033654,-1.544064,723.820374,-1746.013550,1292.318481,-0.008918,-0.024447,1.530295,782.216919,-3455.135010,1211.830200
179,0,-0.124153,0.034252,-1.543708,723.948242,-1745.974487,1291.275635,-0.012711,-0.023003,1.526621,781.529907,-3454.963623,1212.055420
180,0,-0.124142,0.034704,-1.543555,724.135498,-1745.914551,1290.217407,-0.013050,-0.029311,1.520468,780.851746,-3454.726562,1212.029419
181,0,-0.123829,0.035415,-1.543167,724.281067,-1745.784668,1289.183594,-0.013967,-0.028082,1.517720,779.965271,-3454.450195,1212.250000
182,0,-0.124394,0.035476,-1.543073,724.478455,-1745.569092,1288.077026,-0.012810,-0.028381,1.520019,779.494324,-3453.711426,1212.261597
