timestamp,data
1724181275.7772522,"[-0.024967021742642856, 0.014363158352696716, 0.2070501140386253, 0.0, 0.0, 0.0]"
1724181275.7865112,"[-0.02649314200638907, 0.013825362590572701, 0.20673468018161548, 0.0, 0.0, 0.0]"
1724181275.800997,"[-0.028278653954666066, 0.013067189310833484, 0.2059154590531645, 0.0, 0.0, 0.0]"
1724181275.8055382,"[-0.022544809820506304, 0.01525266499439851, 0.2071731864293266, 0.0, 0.0, 0.0]"
1724181275.808054,"[-0.022702834188407052, 0.015359576197630275, 0.20862533493233593, 0.0, 0.0, 0.0]"
1724181275.8153682,"[-0.026361192644255807, 0.012347423308371963, 0.20649065681125695, 0.0, 0.0, 0.0]"
1724181275.8261154,"[-0.027675390556978173, 0.011682867785588578, 0.20614012449031183, 0.0, 0.0, 0.0]"
1724181275.835701,"[-0.02878747155574444, 0.01151224435165636, 0.20522966732926842, 0.0, 0.0, 0.0]"
1724181275.8388638,"[-0.019700348166779052, 0.015293874078156269, 0.20566586291247968, 0.0, 0.0, 0.0]"
1724181275.8495846,"[-0.020281198442238184, 0.01552189239007641, 0.2052176688574242, 0.0, 0.0, 0.0]"
1724181275.8558662,"[-0.021957408045798637, 0.015054346992619837, 0.20355862870436361, 0.0, 0.0, 0.0]"
1724181275.865737,"[-0.02261936627448283, 0.01506519642376201, 0.20456416326841922, 0.0, 0.0, 0.0]"
1724181275.8754303,"[-0.024008113758186844, 0.014554285791542427, 0.20417827028003455, 0.0, 0.0, 0.0]"
1724181275.8792043,"[-0.021056151584007466, 0.014511067815160749, 0.20356617963315704, 0.0, 0.0, 0.0]"
1724181275.8884718,"[-0.022441553922294112, 0.013875033480101422, 0.20304616007150472, 0.0, 0.0, 0.0]"
1724181275.8964791,"[-0.02259782002562175, 0.013971575445437444, 0.20445937942425996, 0.0, 0.0, 0.0]"
1724181275.905681,"[-0.024893853567130614, 0.01364437610338202, 0.20315811522528066, 0.0, 0.0, 0.0]"
1724181275.915611,"[-0.025384511832568155, 0.013859066168227876, 0.20427801767996354, 0.0, 0.0, 0.0]"
1724181275.918051,"[-0.015563631638418186, 0.01571973851645804, 0.2022979026173797, 0.0, 0.0, 0.0]"
1724181275.9268975,"[-0.0163928335177595, 0.01552727036626045, 0.20250219530329042, 0.0, 0.0, 0.0]"
1724181275.9354613,"[-0.017584231549808895, 0.015861744981828307, 0.20627325736618618, 0.0, 0.0, 0.0]"
1724181275.9459457,"[-0.01834377858626676, 0.015682717447995126, 0.20783207439044366, 0.0, 0.0, 0.0]"
1724181275.9481564,"[-0.017903368805741053, 0.01615387102079413, 0.20454190420192664, 0.0, 0.0, 0.0]"
1724181275.9556627,"[-0.01904599221714545, 0.015730013859655778, 0.20473737442782322, 0.0, 0.0, 0.0]"
1724181275.965907,"[-0.019178612553460647, 0.01583947731146713, 0.20616240014856035, 0.0, 0.0, 0.0]"
1724181275.9757264,"[-0.020357382387745537, 0.01583618851579101, 0.2079893494207822, 0.0, 0.0, 0.0]"
1724181275.9853454,"[-0.02315005810898156, 0.015327556343389385, 0.20760480455877844, 0.0, 0.0, 0.0]"
1724181275.9955032,"[-0.024551321888776182, 0.015634717462947745, 0.20744435151109503, 0.0, 0.0, 0.0]"
1724181275.9987311,"[-0.010973588208941386, 0.01565412765361009, 0.18004927416205602, 0.0, 0.0, 0.0]"
