Frame,Sub Frame,RX_c,RY_c,RZ_c,TX_c,TY_c,TZ_c,RX_l,RY_l,RZ_l,TX_l,TY_l,TZ_l
107,0,-0.034412,-0.117572,-1.581561,2454.287598,-1396.136963,983.571777,-0.053919,0.096085,1.593951,2243.291748,-2901.145264,1095.386353
108,0,-0.036921,-0.116449,-1.582860,2453.563477,-1395.837280,983.791504,-0.041696,0.084047,1.592783,2245.431152,-2900.249023,1095.718506
109,0,-0.037881,-0.115515,-1.583799,2452.833984,-1395.551147,984.044983,-0.045049,0.085218,1.592337,2246.629150,-2899.959961,1094.982544
110,0,-0.040501,-0.115781,-1.583753,2452.083740,-1395.284180,984.291626,-0.042597,0.081976,1.592239,2248.356934,-2899.155029,1094.728882
111,0,-0.042415,-0.115472,-1.583589,2451.435059,-1395.038208,984.599426,-0.041073,0.078927,1.592039,2250.113770,-2898.325684,1094.379883
112,0,-0.044444,-0.114581,-1.583647,2450.788818,-1394.856445,984.903625,-0.034724,0.072118,1.590840,2252.033203,-2897.481445,1094.511475
113,0,-0.045518,-0.112356,-1.584431,2450.131348,-1394.735474,985.218140,-0.033153,0.069082,1.590119,2253.804199,-2896.642090,1094.139404
114,0,-0.046420,-0.110450,-1.584841,2449.444580,-1394.616943,985.410461,-0.032871,0.075760,1.590649,2255.611084,-2895.679443,1093.745117
115,0,-0.047064,-0.109041,-1.585352,2448.685547,-1394.538818,985.593506,-0.053399,0.091633,1.606070,2258.275879,-2895.070068,1094.320312
116,0,-0.048341,-0.107398,-1.585827,2447.984131,-1394.409912,985.745972,-0.117024,0.105895,1.598600,2260.478760,-2894.888428,1096.388672
117,0,-0.049419,-0.106217,-1.586313,2447.334229,-1394.317261,985.876221,-0.150532,0.120018,1.598366,2261.675049,-2894.065918,1096.208130
118,0,-0.050214,-0.105858,-1.586724,2446.616943,-1394.278687,985.947083,-0.146690,0.112447,1.600241,2263.858643,-2893.051025,1096.273926
119,0,-0.050725,-0.105774,-1.587417,2445.872559,-1394.295410,985.951477,-0.146172,0.107829,1.598939,2265.603516,-2891.832520,1096.040771
120,0,-0.051582,-0.105486,-1.588178,2445.156006,-1394.320801,985.969788,-0.150268,0.106403,1.598353,2267.489014,-2890.777588,1095.888672
121,0,-0.051972,-0.106212,-1.588825,2444.405029,-1394.321899,985.975891,-0.139907,0.100173,1.596412,2269.175049,-2889.650391,1095.207764
122,0,-0.051656,-0.106774,-1.589540,2443.679443,-1394.364624,986.005432,-0.150851,0.101023,1.594575,2270.837646,-2888.761963,1095.105347
123,0,-0.051031,-0.107009,-1.590322,2442.954102,-1394.451172,985.947388,-0.117316,0.090507,1.602148,2272.509521,-2886.620361,1093.485107
124,0,-0.051046,-0.106712,-1.591175,2442.224854,-1394.574463,985.808411,-0.127843,0.090289,1.602124,2274.458008,-2885.396729,1093.568604
125,0,-0.051047,-0.106154,-1.591972,2441.517822,-1394.732422,985.673523,-0.125666,0.085566,1.602886,2276.415771,-2884.108887,1093.376587
126,0,-0.050872,-0.105958,-1.592422,2440.847412,-1394.881226,985.544189,-0.125388,0.081032,1.604210,2278.287598,-2882.805420,1093.211792
127,0,-0.049761,-0.105118,-1.592936,2440.236816,-1395.072754,985.420593,-0.129390,0.079605,1.602152,2280.081543,-2881.525391,1093.141602
128,0,-0.049879,-0.103785,-1.593773,2439.588623,-1395.350098,985.228088,-0.138348,0.082946,1.605155,2281.862061,-2880.349854,1093.070312
129,0,-0.051072,-0.103907,-1.593710,2438.909668,-1395.661987,984.987305,-0.158672,0.078736,1.591268,2283.624756,-2879.685547,1093.902344
130,0,-0.052123,-0.102850,-1.594086,2438.287842,-1395.970337,984.827942,-0.021960,0.010447,1.589318,2285.017334,-2876.993896,1089.817139
131,0,-0.051303,-0.101635,-1.594466,2437.738525,-1396.288452,984.691223,-0.029490,0.015632,1.590420,2286.614990,-2875.868164,1089.374756
132,0,-0.052156,-0.100706,-1.595001,2437.168945,-1396.671631,984.521912,-0.015976,-0.000185,1.588600,2288.624756,-2874.304443,1089.577148
133,0,-0.052467,-0.099862,-1.594726,2436.566895,-1397.058472,984.329102,-0.030099,0.010795,1.589666,2290.408203,-2873.130615,1088.963501
134,0,-0.052882,-0.099662,-1.594775,2436.020264,-1397.467651,984.115723,-0.027164,0.004420,1.587654,2292.159180,-2871.872070,1088.688965
135,0,-0.052666,-0.098963,-1.595173,2435.465332,-1397.848633,983.954651,-0.043381,0.028237,1.602528,2294.531738,-2870.723877,1088.862915
136,0,-0.053287,-0.099634,-1.595181,2434.856201,-1398.262573,983.715332,-0.043795,0.029411,1.603037,2296.408936,-2869.382324,1088.587769
137,0,-0.053571,-0.100082,-1.595536,2434.270752,-1398.678711,983.502625,-0.038802,0.027117,1.601300,2298.223877,-2868.001221,1088.334839
138,0,-0.052859,-0.099993,-1.595620,2433.725098,-1399.146729,983.325012,-0.031831,0.023978,1.600168,2300.427002,-2866.301025,1088.314941
139,0,-0.053192,-0.100027,-1.595499,2433.204834,-1399.596802,983.097473,-0.036218,0.032472,1.601313,2302.019775,-2865.208008,1087.655029
140,0,-0.053877,-0.100483,-1.595702,2432.706055,-1400.065552,982.921204,-0.037015,0.036542,1.602072,2303.967285,-2863.811768,1087.352905
141,0,-0.054348,-0.101194,-1.595174,2432.206543,-1400.591187,982.762390,-0.036176,0.039119,1.601488,2305.790771,-2862.410889,1087.043701
142,0,-0.054914,-0.101647,-1.594343,2431.697998,-1401.172729,982.595764,-0.029294,0.033077,1.600279,2308.020020,-2860.805176,1087.376343
143,0,-0.054499,-0.101366,-1.594233,2431.252930,-1401.781616,982.442322,-0.040594,0.046617,1.602241,2309.454590,-2859.605957,1086.458862
144,0,-0.054902,-0.101705,-1.593874,2430.853271,-1402.376953,982.298523,-0.032218,0.037259,1.600896,2311.411377,-2858.212646,1086.696289
145,0,-0.055257,-0.101629,-1.593595,2430.400635,-1403.038940,982.087708,-0.035467,0.039990,1.602514,2313.300049,-2856.738525,1086.418213
146,0,-0.055549,-0.101766,-1.593389,2430.012695,-1403.656982,981.872375,-0.034640,0.038029,1.600804,2315.084717,-2855.239746,1086.248291
147,0,-0.055482,-0.101773,-1.593325,2429.638916,-1404.308472,981.680054,-0.034616,0.039545,1.601457,2316.899658,-2853.853516,1086.096191
148,0,-0.055324,-0.102657,-1.593059,2429.224854,-1404.943115,981.426025,-0.029721,0.035723,1.597900,2318.844238,-2852.174316,1085.984741
149,0,-0.055300,-0.102481,-1.593113,2428.827637,-1405.623047,981.197754,-0.035548,0.043009,1.598299,2320.212891,-2851.051758,1085.425537
150,0,-0.054661,-0.103728,-1.592623,2428.421631,-1406.326782,981.001648,-0.030419,0.036793,1.595201,2322.167236,-2849.332031,1085.430054
151,0,-0.053122,-0.104474,-1.592102,2428.117432,-1407.036987,980.844116,-0.023944,0.031539,1.594422,2323.722900,-2848.196777,1085.636108
152,0,-0.051544,-0.104585,-1.592014,2427.768311,-1407.748291,980.714478,-0.041481,0.045307,1.596529,2325.470947,-2846.623779,1084.720337
153,0,-0.050835,-0.105274,-1.592093,2427.426514,-1408.521118,980.589478,-0.047820,0.052293,1.595492,2327.085938,-2845.179199,1084.289185
154,0,-0.050135,-0.105263,-1.591661,2427.122803,-1409.312134,980.478882,-0.036710,0.038935,1.594962,2329.334717,-2843.552246,1084.873047
155,0,-0.050946,-0.105914,-1.591000,2426.834229,-1410.105957,980.356201,-0.029507,0.033623,1.592843,2330.884521,-2842.275391,1084.849609
156,0,-0.050981,-0.105189,-1.590782,2426.629883,-1410.889282,980.300049,-0.036012,0.041073,1.595003,2332.489746,-2840.773193,1084.069946
157,0,-0.051677,-0.105186,-1.589852,2426.392822,-1411.696899,980.205383,-0.038364,0.043326,1.593976,2334.703857,-2838.914062,1084.048950
158,0,-0.052079,-0.105118,-1.589657,2426.118164,-1412.579834,980.121826,-0.044854,0.049891,1.593883,2336.015625,-2837.605713,1083.446045
159,0,-0.052768,-0.105692,-1.588558,2425.902588,-1413.414307,980.109924,-0.039103,0.046643,1.591609,2337.979736,-2835.822510,1083.524048
160,0,-0.052682,-0.106985,-1.587463,2425.707275,-1414.207031,980.126221,-0.041953,0.050577,1.591818,2339.666504,-2834.348145,1083.220581
161,0,-0.053085,-0.107310,-1.587383,2425.466064,-1414.985596,980.176392,-0.039891,0.050285,1.589517,2341.268555,-2832.790283,1082.789062
162,0,-0.053219,-0.107892,-1.586862,2425.204590,-1415.824707,980.238770,-0.052014,0.062889,1.590768,2342.591064,-2831.655029,1082.294556
163,0,-0.054152,-0.108588,-1.586415,2424.963379,-1416.687012,980.326538,-0.030606,0.044697,1.587694,2344.540039,-2830.046143,1082.696777
164,0,-0.054738,-0.109857,-1.585312,2424.741699,-1417.538086,980.474182,-0.034368,0.049058,1.589781,2346.510010,-2828.265381,1082.321045
165,0,-0.055162,-0.109973,-1.585096,2424.550537,-1418.393433,980.654358,-0.040629,0.053362,1.589727,2348.333984,-2826.606934,1081.950806
166,0,-0.055775,-0.110720,-1.584546,2424.371338,-1419.281128,980.858276,-0.005791,0.228252,1.491082,2348.171875,-2822.401611,1086.778442
167,0,-0.055433,-0.110240,-1.584116,2424.165039,-1420.182617,981.029785,0.007301,0.117561,1.498657,2349.671875,-2821.157471,1083.142700
168,0,-0.055926,-0.110948,-1.583943,2424.007080,-1421.091797,981.240601,0.014599,0.098090,1.497291,2351.410156,-2819.459473,1082.963867
169,0,-0.056826,-0.110948,-1.583410,2423.884277,-1421.958740,981.416870,-0.044186,0.050840,1.589938,2355.080811,-2820.102539,1081.724487
170,0,-0.058989,-0.112126,-1.583381,2423.781738,-1422.789795,981.596130,-0.044159,0.051497,1.590478,2356.699463,-2818.413574,1081.426025
171,0,-0.060704,-0.113275,-1.582940,2423.709717,-1423.629395,981.854126,-0.045254,0.051459,1.590769,2358.317871,-2816.806885,1081.426636
172,0,-0.062849,-0.114287,-1.582570,2423.608154,-1424.482788,982.064453,-0.041609,0.049045,1.590535,2359.864258,-2815.288330,1081.417847
173,0,-0.065053,-0.115954,-1.582412,2423.511475,-1425.374878,982.319702,-0.037651,0.045212,1.590632,2361.516357,-2813.711914,1081.475098
174,0,-0.066925,-0.116548,-1.582272,2423.466797,-1426.243408,982.586853,-0.026782,0.037440,1.591161,2363.030273,-2812.562256,1082.097046
175,0,-0.068120,-0.117572,-1.582534,2423.418701,-1427.183105,982.804382,-0.038465,0.049690,1.593548,2364.799072,-2810.798340,1081.392578
176,0,-0.068159,-0.117493,-1.582557,2423.346680,-1428.099976,983.037659,-0.029177,0.044129,1.593620,2366.762451,-2809.041016,1081.822754
177,0,-0.068323,-0.117879,-1.582654,2423.248291,-1429.076294,983.191956,-0.027256,0.044172,1.594887,2368.515137,-2807.398193,1081.984863
178,0,-0.068951,-0.117729,-1.582438,2423.192383,-1430.040039,983.365356,-0.023830,0.044501,1.595625,2370.264648,-2805.822754,1082.306152
179,0,-0.070762,-0.117945,-1.582764,2423.200684,-1430.953857,983.522522,-0.021348,0.042628,1.597705,2372.047852,-2804.229736,1082.514648
180,0,-0.072055,-0.119193,-1.582476,2423.304199,-1431.788574,983.704041,-0.019471,0.042300,1.597985,2373.628906,-2802.795898,1082.693604
181,0,-0.074214,-0.120654,-1.583114,2423.344727,-1432.588135,983.877502,0.162154,-0.609753,1.521951,2372.736572,-2800.395752,1064.686279
